Company Name, Industry/Sector, Severity, Support Types
Toyota Motor Corporation, Automotive, LOW, PRODUCTS
TripAdvisor Inc., Online Travel, HIGH, OPERATIONS
Unilever PLC, Consumer Goods, MEDIUM, OPERATIONS & OTHER
Volkswagen AG, Automotive, LOW, PRODUCTS
Volvo Group (AB Volvo),	Heavy Machinery, MEDIUM, PRODUCTS
Wix.com Ltd., Technology, HIGH, STATEMENTS
Zara (Industria de Diseño Textil S.A.), Retail, HIGH, STATEMENTS & OTHER
Danske Bank A/S, Finance/Banking, HIGH, DIRECT_FUNDING
BankInvest (BI Holding), Finance/Investment, LOW, DIRECT_FUNDING
First International Bank of Israel,	Banking, CRITICAL, DIRECT_FUNDING & OPERATIONS
Shufersal Ltd., Retail/Supermarkets, CRITICAL, OPERATIONS
Bank Otsar Ha-Hayal Ltd., Banking (Military Bank), CRITICAL, DIRECT_FUNDING & OPERATIONS
Hot Telecommunications Systems Ltd., Telecommunications, HIGH, OPERATIONS
Partner Communications Co. Ltd., Telecommunications, HIGH, OPERATIONS
Cellcom Israel Ltd., Telecommunications, HIGH, OPERATIONS
Delta Galil Industries Ltd., Apparel Manufacturing, HIGH, OPERATIONS
Dor Alon Energy in Israel Ltd., Energy (Fuel), HIGH, OPERATIONS
Delek Group Ltd., Energy (Fuel), HIGH, OPERATIONS
Paz Oil Company Ltd., Energy (Fuel), HIGH, OPERATIONS
